Rating,Year,Title,Genres
8.0/10,2001,×××××× ×××××,MYSTERY/FANTASY
7.6/10,2007,××××××××,COMEDY
7.6/10,2008,×××× ×× ×××××,ACTION/ANIMATION
7.6/10,2011,××/××,COMEDY/DRAMA
7.5/10,2022,××× ×××××××××,DRAMA
7.3/10,2017,××× ×××××××× ××××××,COMEDY/DRAMA
7.3/10,2011,×××× ×× ××××× ×,ANIMATION/COMEDY
7.2/10,2023,××××××× ×××××× ××××× ×××××××: ×××××× ××××××,SCI-FI/ACTION
7.2/10,2015,××××× ××××,DRAMA/HISTORY
7.1/10,2005,××× ×× ×××× ××× ××××××,ROM-COM
7.1/10,2004,×××××××××: ××× ×××××× ×× ××× ××××××××,COMEDY
7.1/10,2016,×××× ×× ××××× ×,ACTION/ANIMATION
7.0/10,2023,××× ××××× ××××× ××××. ×××××,ANIMATION/COMEDY
6.9/10,2011,××××,SCI-FI/COMEDY
6.9/10,2022,×××× '× ××××: ×××××× ×××××××,ANIMATION/COMEDY
6.9/10,2008,××××××××× ×××××××,COMEDY/ACTION
6.9/10,2023,×××× ×××××,COMEDY/DRAMA
6.9/10,2007,××××××× ××,ROM-COM
6.9/10,2008,×××× ××××××××,COMEDY
6.8/10,2019,×××× ××××,ROM-COM
6.8/10,2019,××× ×××× ××××,ANIMATION/ADVENTURE
6.8/10,2008,×××××× ××××× × ×××!,ANIMATION/COMEDY
6.6/10,2013,×××× ×× ××× ×××,COMEDY/ACTION
6.6/10,2024,××××××: ××× ×××× ××××,ANIMATION/ADVENTURE
6.5/10,2008,×××× ××× ×××× ×××× × ×××××,ROM-COM
6.5/10,2014,××× ×××××××××,COMEDY/ACTION
6.5/10,2008,××× ×××××××××× ××××××××××,FANTASY/ADVENTURE
6.5/10,2011,×××× ×××× ×××××,ROM-COM
6.5/10,2009,×××××××,COMEDY/CRIME
6.4/10,2015,××× ××××× ××××××,COMEDY/FANTASY
6.4/10,2009,×××××××× ×× ××××××,SCI-FI/ANIMATION
6.3/10,2024,×××× ×× ××××× ×,ACTION/ANIMATION
6.3/10,2014,×××××××××,COMEDY
6.3/10,2009,××××× ××××××,COMEDY/DRAMA
6.1/10,2007,××××× ××× ×××××,ANIMATION/COMEDY
6.1/10,2016,××××××× ×××××,ANIMATION/COMEDY
6.1/10,2018,×××× ××××××,DRAMA
6.0/10,2012,"××× × ×××× ××××, ××××...",COMEDY/DRAMA
6.0/10,2009,××××× ×××××,ROM-COM
6.0/10,2004,"×××× ××, ××× ××××××××: ××× ×××× ×××××",COMEDY
5.8/10,2018,×××××××,COMEDY/THRILLER
5.8/10,2009,××××××× ××× ××××××,COMEDY/CRIME
5.8/10,2011,××× ××××× ××××××,COMEDY/ACTION
5.8/10,2012,××× ××××× ××××,COMEDY
5.7/10,2020,×× ×××××××× ××××××,COMEDY/DRAMA
5.7/10,2016,××××××××× ×: ×××××××× ××××××,COMEDY
5.6/10,2006,"×××, ×× ××× ××××××",ROM-COM
4.8/10,2015,××× ××××× ××× ××× ××××,DRAMA
4.6/10,2019,×××××××××,COMEDY/DRAMA
4.5/10,2023,××××××× ×××××,COMEDY
